text,label
@baydiangirl it definitely moved some church folks cause I have a audience &amp; readers who engage &amp; I can speak the gospel w/o being a pastor.,0
@suebob Looks like #TXlege made up new rules for the space/time continuum. #midnightmeansmidnight,0
RT @saleemchat: #WJChat #A1B 5 yrs: People skills will be in demand as our primary interactions will be mediated by technology. #journalism,0
@SajidaBalouch Huhhhhh ,0
@Dukester_94 im the lad of all bibles,0
@agraceh13 am I included in this lol,0
harrys hair is so pretty ,0
RT @Alex_GI7: Vamos PSg,0
"RT @lemondefr: Les Â«Buffalo SoldiersÂ», ces oubliÃ©s noirs des conquÃªtes amÃ©ricaines http://t.co/4oItgK5SIw RÃ©cit sur @LeMonde_Afrique http:/â¦",0
"sore throat, headache, feeling sick, today seriously cant get any better.. #sick #fml",0
"RT @KingJohnLove: No heterosexual man is gonna say ""ew she's darkskin"" or ""ew she's white"" if a woman's beautiful she's beautiful.",0
"If you don't eat, you get ate....Better get the fuck out my way..before you end up on plate",0
RT @Apriim: look at the shit we're calling love these days.,0
@MimiAKA08 I know! Dried up like a raisin in the sun. Smh.,0
"RT @davidisthegoon: been in the ""talking"" stage 69 thousand times in my life ",0
At this point I should wear what I please,0
Death by heart break.,0
"RT @lucyliz: Kaelyn is trying to potty train Sir Isaac. ""Pee pee goes in here. Right here. Are you even looking? LOOK AT ME!""",0
I'm so proud of you @ShawnMendes #ShawnOnCONAN #StitchesTVTakeover â¤ï¸x13,0
@Cristian_veloz Bitch they usually $20. I'm being nice and giving it for $10 ,0
RT @manduhhhpleasee: Springfield friends at ship this weekend #hype @mikebarbieri2 @Matty_Light23,0
RT @gminayolopez: Lo que iguala y diferencia a los #millennials y a la GeneraciÃ³n X delante del #mÃ³vil http://t.co/LqNTI9ATPH,0
â@1997daysu: ,0
@ForrestIsLove nah that's not our definition ,0
@MarleyThirteen thoose retweets where so stupid I almost died,0
@SouthwestAir where are you? Don't disappoint me today!,0
Que me cuentas a mi que se tu historia?..,0
The Shanky Daily is out! http://t.co/reQn0B3r0Z Stories via @marsninja,0
@lelalondon Thanks lovely :) xx,0
B A W A L,0
RT @CindyBuccieri: It's Appy Hour: Addappt keeps your contact list up to date automatically.,0
"RT @zarrynlilo: In my country""1D comes here in 2015""""1975 comes here in 2015""""Ed Sheeran comes here in 2015""""The Vamps comes here in 20â¦",0
"CBC took $5,000 from Warner Music so Jian Ghomeshi could interview Tom Petty http://t.co/GiJ1ukUG1n via @torontostar #jianghomeshi",0
Natch,0
"@ashsparkle Nah, we are all pretty terrible.   Your only hope is to soft reset the universe repeatedly until a good one appears.",0
Whoa.,0
